Perfect,Ed Sheeran,pop
Rockstar,Post Malone Featuring 21 Savage,hip-hop / rap
Rockstar,Post Malone Featuring 21 Savage,hip-hop / rap
Rockstar,Post Malone Featuring 21 Savage,hip-hop / rap
Rockstar,Post Malone Featuring 21 Savage,hip-hop / rap
Finesse,Bruno Mars & Cardi B,R&B / Soul
Havana,Camila Cabello Featuring Young Thug,Latin
God's Plan,Drake,pop
God's Plan,Drake,pop
God's Plan,Drake,pop
God's Plan,Drake,pop
God's Plan,Drake,pop
God's Plan,Drake,pop
God's Plan,Drake,pop
God's Plan,Drake,pop
God's Plan,Drake,pop
God's Plan,Drake,pop
Nice For What,Drake,hip-hop / rap
Nice For What,Drake,hip-hop / rap
Nice For What,Drake,hip-hop / rap
Nice For What,Drake,hip-hop / rap
This Is America,Childish Gambino,hip-hop / rap
This Is America,Childish Gambino,hip-hop / rap
This Is America,Childish Gambino,hip-hop / rap
Yes Indeed,Lil Baby & Drake,hip-hop / rap
All Mine,Kanye West,hip-hop / rap
Lucid Dreams,Juice WRLD,hip-hop / rap
Sad!,XXXTENTACION,hip-hop / rap
Nonstop,Drake,hip-hop / rap
In My Feelings,Drake,hip-hop / rap
In My Feelings,Drake,hip-hop / rap
In My Feelings,Drake,hip-hop / rap
In My Feelings,Drake,hip-hop / rap
In My Feelings,Drake,hip-hop / rap
In My Feelings,Drake,hip-hop / rap
In My Feelings,Drake,hip-hop / rap
In My Feelings,Drake,hip-hop / rap
In My Feelings,Drake,hip-hop / rap
Lucky You,Eminem Featuring Joyner Lucas,hip-hop / rap
I Love It,Kanye West & Lil Pump,hip-hop / rap
I Love It,Kanye West & Lil Pump,hip-hop / rap
Lucid Dreams,Juice WRLD,hip-hop / rap
I Love It,Kanye West & Lil Pump,hip-hop / rap
Lucid Dreams,Juice WRLD,hip-hop / rap
Mona Lisa,Lil Wayne Featuring Kendrick Lamar,hip-hop / rap
Drip Too Hard,Lil Baby & Gunna,hip-hop / rap
ZEZE,Kodak Black Featuring Travis Scott & Offset,hip-hop / rap
ZEZE,Kodak Black Featuring Travis Scott & Offset,hip-hop / rap
ZEZE,Kodak Black Featuring Travis Scott & Offset,hip-hop / rap
Thank U@ Next,Ariana Grande,pop
Thank U@ Next,Ariana Grande,pop
Thank U@ Next,Ariana Grande,pop
Thank U@ Next,Ariana Grande,pop
